angleX,angleY,angleZ,label
36.97,-98.51,55.09,0
37.97,-101.33,53.99,0
39.38,-103.4,51.96,0
40.65,-104.79,49.73,0
41.33,-105.59,48.16,0
41.02,-105.78,46.94,0
38.75,-104.61,45.87,0
35.99,-101.64,43.87,0
32.73,-98.39,41.34,0
29.48,-95.14,38.81,0
26.23,-91.89,36.7,0
23.9,-88.63,34.53,0
22.76,-85.38,32.69,0
22.99,-82.13,30.82,0
23.64,-80.08,29.09,0
24.92,-79.29,27.41,0
26.88,-79.64,25.76,0
30.05,-80.79,24.1,0
33.06,-82.33,23.03,0
34.68,-83.27,22.36,0
34.78,-83.73,22.15,0
35.12,-83.91,22.03,0
35.67,-84.35,22.17,0
36.43,-85.01,22.47,0
37.14,-85.92,22.76,0
36.79,-86.81,22.87,0
35.42,-87.79,22.96,0
34.19,-89.1,23.12,0
33.76,-90.78,23.44,0
33.87,-92.48,23.92,0
33.79,-93.87,24.72,0
33.47,-94.67,25.92,0
33.25,-94.69,27.53,0
33.16,-93.91,29.38,0
32.89,-92.38,31.27,0
32.2,-90.26,33.06,0
31.19,-87.86,34.49,0
30.02,-85.56,35.38,0
29.04,-83.78,35.34,0
27.96,-82.51,34.19,0
25.85,-81.61,32.45,0
24.33,-81.19,30.66,0
24.34,-81.42,28.42,0
24.35,-81.47,25.97,0
23.24,-80.95,23.86,0
21.74,-80.06,22.03,0
20.39,-79.03,20.5,0
19.23,-77.92,19.51,0
18.05,-76.77,19.34,0
17.04,-75.46,20.6,0
17.08,-73.97,22.97,0
17.89,-72.02,25.95,0
17.52,-69.93,29.2,0
16.0,-67.9,32.45,0
14.76,-66.71,35.7,0
15.57,-68.1,38.76,0
18.82,-71.35,42.01,0
22.07,-74.6,43.16,0
21.38,-77.85,42.79,0
18.13,-79.84,39.54,0
14.87,-80.78,36.28,0
11.62,-81.6,33.03,0
12.2,-83.57,29.78,0
15.45,-86.21,26.53,0
17.03,-87.94,25.28,0
17.0,-87.6,25.43,0
17.53,-86.18,24.59,0
17.08,-84.77,23.37,0
15.35,-81.65,22.86,0
12.1,-78.4,23.69,0
8.85,-75.14,25.06,0
6.83,-71.89,26.9,0
5.73,-69.23,29.26,0
5.0,-67.37,32.01,0
5.01,-66.16,34.55,0
3.58,-65.09,36.69,0
0.81,-64.29,38.5,0
-1.85,-64.23,39.76,0
-3.87,-65.3,40.63,0
-5.51,-67.09,40.4,0
-8.76,-69.02,39.79,0
-12.01,-71.26,38.75,0
-15.24,-73.91,37.65,0
-17.17,-76.88,36.78,0
-18.25,-79.66,35.92,0
-19.93,-81.63,35.92,0
-21.63,-82.75,36.39,0
-23.08,-83.14,37.44,0
-24.28,-82.66,39.27,0
-25.6,-81.08,41.65,0
-27.79,-78.4,44.55,0
-30.49,-75.15,47.61,0
-33.19,-71.9,50.74,0
-35.78,-69.19,53.99,0
-33.94,-67.54,57.25,0
-30.69,-68.81,59.9,0
-27.44,-69.21,60.7,0
-29.15,-69.71,59.84,0
-32.41,-70.33,57.28,0
-35.66,-70.71,54.64,0
-37.35,-70.53,52.19,0
-37.02,-70.34,50.6,0
-35.34,-70.07,49.94,0
-33.18,-69.38,49.5,0
-32.5,-67.89,49.26,0
-32.38,-65.98,49.44,0
-30.9,-65.12,49.89,0
-28.87,-64.89,50.04,0
-29.39,-65.38,50.44,0
-28.02,-67.53,50.27,0
-26.13,-70.15,50.12,0
-24.82,-72.69,50.13,0
-23.22,-75.1,50.16,0
-21.91,-77.25,50.3,0
-20.97,-79.13,50.55,0
-19.84,-80.88,50.78,0
-18.79,-82.48,50.96,0
-18.01,-83.88,51.08,0
-17.41,-85.03,51.12,0
-17.06,-85.86,51.13,0
-17.06,-86.33,51.15,0
-17.31,-86.5,51.23,0
-18.26,-86.29,51.49,0
-19.0,-86.48,51.69,0
-19.01,-87.43,51.78,0
-18.04,-89.15,51.81,0
-16.16,-91.25,51.9,0
-14.55,-93.15,52.22,0
-13.23,-94.65,52.62,0
-12.43,-95.61,52.91,0
-12.54,-96.15,53.0,0
-13.39,-96.42,52.71,0
-14.51,-96.86,52.44,0
-14.77,-97.82,52.03,0
-14.64,-99.3,51.74,0
-13.87,-101.16,51.47,0
-12.82,-103.39,51.32,0
-11.74,-105.62,51.1,0
-10.86,-107.64,50.81,0
-10.09,-109.49,50.64,0
-9.32,-111.16,50.3,0
-8.87,-112.48,49.93,0
-8.23,-113.68,49.4,0
-7.38,-114.73,48.99,0
-6.22,-115.59,48.53,0
-5.01,-116.22,48.03,0
-3.56,-116.81,47.27,0
-1.83,-117.55,46.11,0
0.22,-118.47,44.54,0
2.66,-119.51,42.49,0
-0.6,-118.65,43.47,0
-3.85,-115.54,45.41,0
-7.1,-116.69,44.65,0
-3.85,-119.94,43.22,0
-0.6,-123.2,42.47,0
1.24,-126.45,41.9,0
-2.01,-129.7,42.46,0
-4.68,-132.95,43.46,0
-6.02,-136.2,44.47,0
-7.2,-139.46,45.7,0
-9.03,-141.54,47.35,0
-11.35,-143.69,49.49,0
-14.06,-145.71,51.67,0
-15.97,-147.37,53.67,0
-18.98,-147.21,56.77,0
-22.23,-147.06,59.54,0
-25.48,-147.96,61.89,0
-28.73,-149.26,63.94,0
-31.98,-150.97,65.69,0
-35.15,-152.46,67.35,0
-37.33,-153.57,68.16,0
-38.53,-154.37,67.97,0
-39.41,-154.22,67.61,0
-39.74,-152.92,67.95,0
-39.16,-151.0,68.27,0
-37.56,-148.76,68.59,0
-35.26,-146.44,69.19,0
-32.01,-144.41,70.09,0
-28.75,-143.21,70.5,0
-25.5,-143.4,70.04,0
-22.25,-144.16,69.3,0
-19.0,-144.41,68.39,0
-15.85,-143.94,67.8,0
-13.74,-142.8,67.63,0
-12.2,-141.35,67.4,0
-10.87,-140.45,67.07,0
-9.7,-140.03,66.8,0
-8.76,-139.28,66.49,0
-8.23,-138.3,66.45,0
-8.47,-137.25,66.48,0
-9.0,-136.23,66.32,0
-9.3,-135.25,65.83,0
-9.2,-134.31,65.17,0
-7.11,-134.11,64.85,0
-4.31,-134.82,64.65,0
-1.73,-136.09,63.98,0
0.62,-137.41,63.01,0
1.58,-138.51,62.05,0
0.08,-138.66,60.84,0
-3.17,-137.33,59.95,0
-6.42,-134.16,60.27,0
-9.67,-130.91,61.49,0
-10.98,-127.82,62.04,0
-9.7,-128.39,61.33,0
-6.77,-131.27,59.85,0
-3.93,-134.38,57.48,0
-2.21,-136.73,55.16,0
-1.08,-137.68,53.41,0
-1.23,-137.73,52.58,0
-2.96,-137.23,52.59,0
-5.02,-136.31,52.45,0
-6.76,-136.14,52.21,0
-8.36,-137.12,52.06,0
-10.54,-138.55,52.42,0
-12.75,-140.34,53.08,0
-14.94,-140.64,54.08,0
-17.17,-139.75,55.23,0
-19.01,-138.53,55.84,0
-19.48,-137.47,56.06,0
-18.95,-136.65,56.25,0
-18.46,-136.09,56.38,0
-17.59,-135.18,56.3,0
-17.46,-134.26,56.19,0
-18.8,-133.29,56.48,0
-20.87,-132.01,57.09,0
-22.47,-130.51,57.48,0
-23.61,-129.89,57.44,0
-24.61,-130.18,57.28,0
-27.07,-131.61,56.82,0
-30.05,-133.38,56.32,0
-33.19,-135.05,56.28,0
-36.23,-136.47,56.5,0
-38.93,-137.73,56.81,0
-41.53,-138.76,57.45,0
-43.81,-139.72,57.97,0
